ID;name;birthDate;nationality;biography
1;Emily Brontë;1818-07-30;British;English novelist and poet, best known for Wuthering Heights
2;Charlotte Brontë;1816-04-21;British;English novelist and poet, best known for Jane Eyre
3;Edgar Allan Poe;1809-01-19;American;American writer, poet, and literary critic
4;Herman Melville;1819-08-01;American;American novelist, best known for Moby-Dick
5;Jane Austen;1775-12-16;British;English novelist known for Pride and Prejudice and other works
6;George Orwell;1903-06-25;British;English novelist and essayist, best known for 1984 and Animal Farm
7;Harper Lee;1926-04-28;American;American novelist, best known for To Kill a Mockingbird
8;F. Scott Fitzgerald;1896-09-24;American;American novelist, best known for The Great Gatsby
9;William Shakespeare;1564-04-26;British;English playwright and poet, regarded as greatest writer in English language
10;Homer;;Greek;Ancient Greek epic poet, author of the Iliad and the Odyssey
